COA_NUMBER,COA_ISSUE_DATE,MOE_REGION,MOE_DISTRICT,CLIENT_NAME,SITE_NAME,OPERATION_STATUS,LANDFILL_TYPE,SITE_LOCATION,SITE_MUNICIPALITY,COUNTY_DISTRICT_REGION,TOTAL_SITE_AREA,FOOTPRINT,TOTAL_APPROVED_CAPACITY,TOTAL_APPROVED_CAPACITY_UNIT,FILL_RATE_2,FILL_RATE_2_UNIT,CONTAMINANT_ATTENUATION_ZONE,SERVICE_AREA,APPROVED_WASTE_TYPES,AIR_EMISSION_MONITORING,GROUNDWATER_MONITORING,SURFACE_WATER_MONITORING,LANDFILL_GAS_MONITORING,NATURAL_ATTENUATION,LINERS,COVER_MATERIAL,LEACHATE_OFF_SITE_TREAT,LEACHATE_ON_SITE_TREAT,LANDFILL_GAS_MANAGEMENT_P,LANDFILL_GAS_MANAGEMENT_F,LANDFILL_GAS_MANAGEMENT_E,FINANCIAL_ASSURANCE,ERC_ESTIMATED_VOLUME,ERC_ESTIMATED_VOLUME_UNIT,ERC_DATE_LAST_DETERMINED,ERC_METHODOLOGY,TOTAL_WASTE_RECEIVED,TOTAL_WASTE_RECEIVED_UNIT,TWR_METHODOLOGY,LAST_REPORTING_YEAR,IF_LF_GAS_COLLECTED,IF_REQUIRED_TO_COLLECT_LF_GAS,LATITUDE,LONGITUDE,NORTHING,EASTING,UTM_ZONE
A250101,02/10/1974,Central,Barrie,City of Barrie,City of Barrie Landfill (Sandy Hollow),Open,Municipal,"272 Ferndale Drive North; Part of Lots 21- 22, Concession 7",City of Barrie,Simcoe,121.3,17.6,3924746,Cubic Metres,81000,Tonnes / Year,Yes,City of Barrie,"Domestic, residential, commercial and non-hazardous solid industrial waste",,Tri-Annually,Tri-Annually,Tri-Annually,No,Yes,Yes,Yes,No,Yes,,,No,644503,Cubic Metres,31/12/2011,"Direct Survey (GPS, Total Station)",36609,Tonnes,Weighed,2011,Yes,Yes,44.38660675,-79.7349819,4915592,600761,17
A210318,14/08/1989,Central,Halton-Peel,Regional Municipality of Halton,Halton Regional Landfill - Milton,Open,Municipal,"5400 Regional Road, Nunmber 25; Part of Lots 3-4, Concession 2",Town of Halton Hills,Halton,126,53,7960000,Cubic Metres,123000,Tonnes / Year,,Regional Municipality of Peel,"Non-Hazardous Solid Domestic, Institutional, Commercial or Industrial",,Semi-Annual,Quarterly,,,Yes,Yes,Yes,No,,Yes,,No,5060000,Cubic Metres,15/11/2010,"Direct Survey (GPS, Total Station)",74327,Tonnes,Weighed,2010,Yes,Yes,43.47264149,-79.8324718,4813965,594431,17
A420018,11/04/1999,Eastern,Cornwall,Lafleche Environmental Inc.,Eastern Ontario Waste Handling Facility,Open,Private,"17125 Lafleche Road; West 1/2 of Lot 16, Lots 17 and 18, Concession 10",Township of North Stormont,"Stormont, Dundas and Glengarry",189,66,7400000,Cubic Metres,755000,Tonnes / Year,,Province of Ontario,"Solid non-hazardous municipal, industrial, commercial and institutional wastes, including dewatered and digested sewage and pulp mill sludges, construction and demolition waste, asbestos, auto-fluff, shredder fluff, dredged materials, grill ash, tire shreds",,3 times per Year,4 times per Year,4 times per Year,,Yes,Yes,,Yes,,Yes,,Yes,5102563,Cubic Metres,17/01/2012,"Direct Survey (GPS, Total Station)",281461,Tonnes,Weighed,2011,Yes,Yes,45.30528808,-74.98950197,5016865,500823,18
A480109,31/05/1985,Eastern,Cornwall,The Corporation of the City of Cornwall,Cornwall Landfill - Cornwall,Open,Municipal,"2590 Cornwall Centre Road West, Reference Plan 277",City of Cornwall,"Stormont, Dundas and Glengarry",60,29,3283000,Cubic Metres,103000,Tonnes / Year,,City of Cornwall,"Non-Hazardous Solid Domestic, Institutional, Commercial or Industrial; Other/Biosolids",Annual,,Tri-Annually,Monthly,Yes,,Yes,,Yes,,Yes,,,1068843,Cubic Metres,22/11/2011,Aerial Photogrammetry,45972,Tonnes,Weighed,2010,Yes,Yes,45.03801567,-74.81016506,4987191,514952,18
A411601,26/05/1976,Eastern,Ottawa,The Corporation of the Township of Laurentian Valley,Ottawa Valley Waste Recovery Centre,Open,Municipal,"Lots 23-26, Concession 1",Township of Laurentian Valley,Renfrew,121.4,12.06,2650000,Cubic Metres,200,Tonne/Day,Yes,"Township of Laurentian Valley, City of Pembroke, Town of Petawawa, Township of North Algona- Wilberforce, Township of Bonnechere Valley, Township of Madawaska Valley, Algonquin Park","Domestic/Residential, Commercial,  and Hazardous waste",,Yes,Yes,Yes,No,,,No,Yes,YES,,,No,964530,Cubic Metres,22/12/2011,"Direct Survey (GPS, Total Station)",59813,Tonnes,Weighed,2011,No,Yes,45.70439673,-77.15603264,5063465.478,332167.5339,18
A460702,05/08/1973,Eastern,Ottawa,Waste Services (CA) Incorporated,WSI - Ottawa - Navan Road,Open,Private,"3354 Navan Road; Lots 2-4, Concession 4",City of Ottawa,Ottawa,69,31.9,7600000,Cubic Metres,344750,Tonnes / Year,Yes,Outaouais and Province of Ontario,"Domestic/Residential, Hazardous and Asbestos",,Annual,Annual,Annual,No,,Yes,No,Yes,Yes,,,Yes,3660490,Cubic Metres,31/12/2011,Aerial Photogrammetry,342202,Tonnes,Weighed,2011,No,Yes,45.42198344,-75.49850059,5029950,461000,18
A461303,29/01/1988,Eastern,Ottawa,The Regional Municipality of Ottawa-Carelton,Trail Road - Ottawa,Open,Municipal,"4475 Trail Road; Lots 7-11, Concession 4 Rideau Front",City of Ottawa,Ottawa,200,85.2,16998442,Cubic Metres,563300,Tonnes / Year,,City of Ottawa,Domestic/Residential and Commercial. ,Annual,Tri-Annually,Annual,,Yes,Yes,Yes,Yes,No,,,,No,6597756,Cubic Metres,03/12/2011,Aerial Photogrammetry,233485,Tonnes,Weighed,2011,Yes,Yes,45.23344257,-75.76893206,5009171,439643,18
A461402,11/09/1971,Eastern,Ottawa,City of Ottawa,Springhill - Ottawa - Osgoode (Tomlinson),Open,Municipal,"7722 Springhill Road; Lot 31, Concession 6",City of Ottawa,Ottawa,40.5,19.2,1500000,Cubic Metres,,,Yes,Township of Osgoode,"Domestic/Residential, Commercial",,Semi-annual,Semi-annual,,Yes,,Yes,,Yes,,,,No,596263,Cubic Metres,31/12/2011,"Direct Survey (GPS, Total Station)",59521,Tonnes,Weighed,2011,No,No,45.18801532,-75.48231158,5003950,462111,18
A321504,30/07/1979,Eastern,Peterborough,City of Kawartha Lakes,Lindsay-Ops - Kawartha Lakes,Open,Municipal,51 Wilson Road Part of Lots of 25-27 Concession 6,City of Kawartha Lakes,Kawartha Lakes,53.9,21.2,2340000,Cubic Metres,58200,Tonnes / Year,,City of Kawartha Lakes,Solid non-hazardous municipal waste,,Annual,Conditional,Monthly,No,Yes,Yes,Yes,No,Yes,,,No,1121350,Cubic Metres,31/12/2011,"Direct Survey (GPS, Total Station)",29342,Tonnes,Weighed,2011,No,Yes,44.38979925,-78.73479047,4917664,680419,17
A341508,29/12/1993,Eastern,Peterborough,The Corporation of the City of Peterborough,Bensfort Road - Peterborough,Open,Municipal,"1260 Bensfort Road; Part of Lots 13-15, Concession 13/14, Otonabee Ward",Township of Otonabee-South Monaghan,Peterborough,177,27.5,4445000,Cubic Metres,85000,Tonnes / Year,Yes,City of Peterborough and all municipalities within the County of Peterborough,"Non-hazardous solid domestic, institutional, commercial or industrial ",Daily,Semi-Annual,Semi-Annual,Monthly,,,Yes,,Yes,,Yes,,,1563500,Cubic Metres,31/01/2012,"Direct Survey (GPS, Total Station)",72277,Tonnes,Weighed,2011,Yes,Yes,44.22049973,-78.28560426,4899947,716819,17
